favourites_count,followers_count,statuses_count,friends_count,default_profile,default_profile_image,profile_use_background_image,utc_offset,listed_count,geo_enabled,lang,isFake
0,8,19,181,1.0,,1.0,,0,,en,1.0
6957,10307,32039,31,,,,7200.0,45,1.0,en,0.0
1944,579,43009,663,,,1.0,-18000.0,43,1.0,en,0.0
5261,332,7368,419,1.0,,1.0,,4,1.0,en,0.0
76,17,280,28,1.0,,1.0,,1,1.0,en,0.0
1730,555,2759,422,,,1.0,-25200.0,0,1.0,en,0.0
0,14,18,239,1.0,,1.0,,0,,en,1.0
92,583,307,836,,,1.0,-28800.0,9,,en,1.0
0,11,18,199,1.0,,1.0,,0,,en,1.0
735,1227,81569,273,,,1.0,10800.0,5,1.0,en,0.0
0,13,35,321,1.0,,1.0,,0,,en,1.0
0,11,20,282,1.0,,1.0,,0,,en,1.0
0,18,18,225,1.0,,1.0,,0,,en,1.0
0,22,63,575,1.0,,1.0,,0,,en,1.0
1877,212,7207,150,1.0,,1.0,,0,1.0,en,0.0
0,18,29,373,1.0,,1.0,,0,,en,1.0
125,213,24314,578,,,1.0,-18000.0,2,1.0,es,0.0
0,4,5,570,1.0,,1.0,,0,,es,1.0
0,24,56,584,1.0,,1.0,,0,,en,1.0
50,51,247,382,,,,43200.0,4,,en,0.0
5,34,74,604,,,1.0,,0,,es,1.0
6725,788,24117,405,1.0,,1.0,7200.0,16,1.0,en,0.0
7416,129,1551,250,,,,-25200.0,2,1.0,en,0.0
40,411,1323,831,1.0,,1.0,-18000.0,4,,en,0.0
0,12,17,197,1.0,,1.0,,0,,en,1.0
0,18,39,312,1.0,,1.0,,0,,en,1.0
27052,3178,73778,417,,,,-28800.0,7,1.0,en,0.0
0,26,58,639,1.0,,1.0,,0,,en,1.0
4346,118,7411,58,,,1.0,,0,,en,0.0
0,10,22,257,1.0,,1.0,,0,,en,1.0
0,14,38,283,1.0,,1.0,,0,,en,1.0
0,4,3,520,,,1.0,3600.0,0,,en,1.0
0,27,45,702,1.0,,1.0,,0,,en,1.0
28,77,7656,107,,,1.0,28800.0,1,1.0,en,0.0
2,25,416,28,,,1.0,10800.0,1,,en,0.0
329,79,1342,179,,,1.0,-36000.0,0,,en,0.0
10708,167,1671,176,1.0,,1.0,-14400.0,0,1.0,en,0.0
0,16,20,250,1.0,,1.0,,0,,en,1.0
0,15,25,221,1.0,,1.0,,0,,en,1.0
9,149,434,153,1.0,,1.0,,0,1.0,en,0.0
0,3,20,210,1.0,,1.0,,0,,en,1.0
0,6,20,207,1.0,,1.0,,0,,en,1.0
0,19,27,248,1.0,,1.0,,0,,en,1.0
0,9,0,534,,,1.0,,0,,es,1.0
713,261,5361,485,,,1.0,,3,,en,0.0
0,2,9,493,1.0,,1.0,,0,,en,1.0
7,171,557,1398,,,1.0,0.0,1,,en,1.0
0,10,0,616,1.0,,1.0,,0,,en,1.0
1965,271,17229,418,,,1.0,28800.0,7,1.0,en,0.0
0,13,17,240,1.0,,1.0,,0,,en,1.0
0,8,13,212,1.0,,1.0,,0,,en,1.0
0,9,7,584,1.0,,1.0,,0,,es,1.0
7127,812,12208,848,,,1.0,7200.0,0,1.0,en,0.0
0,11,20,244,1.0,,1.0,,0,,en,1.0
0,10,18,205,1.0,,1.0,,0,,en,1.0
0,13,3,544,1.0,,1.0,,0,,en,1.0
590,561,61294,118,,,1.0,-14400.0,4,1.0,es,0.0
0,0,3,31,1.0,,1.0,,0,,en,1.0
922,188,2183,148,1.0,,1.0,,1,,en,0.0
0,15,46,422,1.0,,1.0,,0,,en,1.0
36,499,2194,226,,,1.0,43200.0,19,1.0,en,0.0
0,15,101,513,1.0,,1.0,,0,,en,1.0
3629,489,3692,1999,1.0,,1.0,-14400.0,3,1.0,en,0.0
0,8,25,210,1.0,,1.0,,0,,en,1.0
0,14,26,239,1.0,,1.0,,0,,en,1.0
251,48489,25281,46310,,,1.0,19800.0,6166,1.0,en,0.0
0,2,68,331,1.0,,1.0,,0,,en,1.0
0,2,2,26,1.0,,1.0,,0,,en,1.0
13140,1509,19688,805,1.0,,1.0,,3,1.0,en,0.0
1058,131,1080,519,1.0,,1.0,,2,,en-gb,0.0
472,155,478,179,1.0,,1.0,,0,,en,0.0
0,28,39,651,,,1.0,-21600.0,0,,es,1.0
0,1,1,20,1.0,,1.0,,0,,en,1.0
0,10,26,246,1.0,,1.0,,0,,en,1.0
0,8,23,210,1.0,,1.0,,0,,en,1.0
171,594,1081,1408,,,1.0,43200.0,8,1.0,en,0.0
61,262,26112,1442,,,1.0,-25200.0,4,,en,0.0
1,67,232,673,,,1.0,28800.0,0,1.0,id,1.0
610,50,410,141,1.0,,1.0,,1,1.0,en,0.0
0,10,21,186,1.0,,1.0,,0,,en,1.0
0,10,24,222,1.0,,1.0,,0,,en,1.0
6449,389,12323,164,,,,-14400.0,5,,en,0.0
2429,481,15262,687,1.0,,1.0,-18000.0,2,,en,0.0
0,11,27,307,1.0,,1.0,,0,,en,1.0
572,110,927,706,,,1.0,32400.0,1,1.0,en,0.0
0,17,31,343,1.0,,1.0,,0,,en,1.0
24072,535,6576,289,,,1.0,-10800.0,0,1.0,en,0.0
0,9,1,583,1.0,,1.0,,0,,es,1.0
0,15,37,384,1.0,,1.0,,0,,en,1.0
1794,1249,162921,1724,,,1.0,-18000.0,56,1.0,en,0.0
9,235,498,570,,,1.0,-18000.0,6,,en,0.0
2466,281,4655,421,,,1.0,,1,,en,0.0
0,6,20,205,1.0,,1.0,,0,,en,1.0
0,8,15,208,1.0,,1.0,,0,,en,1.0
0,6,0,534,,,1.0,,0,,en,1.0
0,0,2,28,1.0,,1.0,,0,,en,1.0
311,218,5051,950,1.0,,1.0,,3,,en,0.0
36945,1824,48392,499,1.0,,1.0,-25200.0,14,1.0,en,0.0
0,21,36,313,1.0,,1.0,,0,,en,1.0
0,4,7,608,1.0,,1.0,,0,,en,1.0
1,12,20,246,1.0,,1.0,,0,,en,1.0
0,1,0,530,1.0,,1.0,,0,,en,1.0
7573,2147,13849,197,,,1.0,3600.0,5,1.0,en-gb,0.0
0,0,0,32,1.0,,1.0,,0,,en,1.0
1568,641,12915,1066,,,,-18000.0,7,,en,0.0
0,18,39,334,1.0,,1.0,,0,,en,1.0
0,27,67,616,1.0,,1.0,,0,,en,1.0
2025,494,2020,254,,,1.0,-28800.0,1,1.0,en,0.0
0,20,25,263,1.0,,1.0,,0,,en,1.0
11,4,33,569,1.0,,1.0,,0,,en,1.0
8100,664,16833,419,,,1.0,-25200.0,0,1.0,en,0.0
16114,1236,22364,624,,,1.0,,9,1.0,en,0.0
3,14,68,76,,,,18000.0,0,,en,0.0
6203,198,3331,138,1.0,,1.0,,0,,en,0.0
1601,65,1908,88,1.0,,1.0,,0,1.0,en,0.0
0,11,24,264,1.0,,1.0,,0,,en,1.0
0,23,54,470,1.0,,1.0,,0,,en,1.0
45,95,290,237,1.0,,1.0,,0,,en,0.0
42,77,6122,134,,,1.0,7200.0,1,,en-gb,0.0
6,39,373,133,,,1.0,-21600.0,1,,en,0.0
0,14,27,261,1.0,,1.0,,0,,en,1.0
443,674,26095,181,,,1.0,25200.0,5,1.0,en,0.0
0,16,26,302,1.0,,1.0,,0,,en,1.0
2867,1259,7356,559,,,1.0,28800.0,0,1.0,en,0.0
1675,382,2451,365,1.0,,1.0,,0,,en,0.0
0,1,0,24,1.0,,1.0,,0,,en,1.0
11224,3798,322470,2886,,,1.0,-18000.0,153,1.0,en,0.0
0,12,30,322,1.0,,1.0,,0,,en,1.0
167,240,1044,146,,,,43200.0,4,,en,0.0
0,8,23,199,1.0,,1.0,,0,,en,1.0
868,28,500,196,1.0,,1.0,3600.0,1,,en,0.0
11126,286,20154,261,1.0,,1.0,-25200.0,4,1.0,en,0.0
0,24,60,521,1.0,,1.0,,0,,en,1.0
0,15,20,209,1.0,,1.0,,0,,en,1.0
0,13,14,186,1.0,,1.0,,0,,en,1.0
2777,189,2171,129,,,1.0,10800.0,1,,tr,0.0
0,22,2421,550,,,1.0,-14400.0,0,1.0,pt,1.0
0,23,52,548,1.0,,1.0,,0,,en,1.0
2015,564,29921,716,,,,-14400.0,1,1.0,en,0.0
883,436,17233,633,,,1.0,-10800.0,3,1.0,en,0.0
784,2634,64811,888,,,1.0,32400.0,186,1.0,en,0.0
0,7,553,934,1.0,,1.0,,0,,en,1.0
0,12,21,251,1.0,,1.0,,0,,en,1.0
0,10,22,266,1.0,,1.0,,0,,en,1.0
0,27,69,698,1.0,,1.0,,0,,en,1.0
0,8,16,200,1.0,,1.0,,0,,en,1.0
898,120,8272,114,,,1.0,28800.0,0,1.0,en,0.0
1723,468,15921,261,,,1.0,-18000.0,2,,en-gb,0.0
544,234,276,137,1.0,,1.0,,2,,en,0.0
1740,247,2325,980,1.0,,1.0,,3,1.0,es,0.0
886,989,24689,931,1.0,,1.0,10800.0,45,1.0,en,0.0
0,20,35,350,1.0,,1.0,,0,,en,1.0
4128,393,8641,985,,,1.0,-25200.0,34,1.0,en,0.0
0,19,50,506,1.0,,1.0,,0,,en,1.0
3454,448,8441,400,,,1.0,28800.0,1,1.0,en,0.0
10,12,107,41,1.0,,1.0,,0,1.0,en,0.0
0,23,81,807,1.0,,1.0,,0,,en,1.0
0,0,4,25,1.0,,1.0,,0,,en,1.0
0,10,0,559,1.0,,1.0,,0,,en,1.0
87,416,18732,345,,,1.0,-36000.0,1,1.0,id,0.0
0,19,31,267,1.0,,1.0,,0,,en,1.0
0,11,22,236,1.0,,1.0,,0,,en,1.0
0,11,17,246,1.0,,1.0,,0,,en,1.0
5895,377,17939,367,,,1.0,-18000.0,1,1.0,en,0.0
0,25,30,299,1.0,,1.0,,0,,en,1.0
124,190,3517,252,,,1.0,28800.0,2,1.0,en,0.0
4152,499,9676,496,,,1.0,28800.0,2,1.0,en,0.0
11127,1944,7553,2147,,,,43200.0,6,,en,0.0
0,9,26,223,1.0,,1.0,,0,,en,1.0
2179,607,2787,882,,,1.0,,9,,en,0.0
2170,4126,59543,4094,,,1.0,-18000.0,195,1.0,en,0.0
0,2,2,15,1.0,,1.0,,0,,en,1.0
0,4,6,301,,,1.0,,0,,en,1.0
3,289,1745,215,,,1.0,-18000.0,26,,en,0.0
1735,1559,29479,799,,,1.0,7200.0,42,1.0,en,0.0
5293,400,8877,173,,,1.0,7200.0,2,1.0,en,0.0
64,254,8643,336,,,1.0,-25200.0,1,1.0,en,0.0
5812,321,25977,862,1.0,,1.0,19800.0,3,1.0,en,0.0
4,10,25,569,,,1.0,-21600.0,1,,es,1.0
514,352,19159,986,,,,-25200.0,7,,en,0.0
1683,15346,35047,2904,,,1.0,-18000.0,59,1.0,en,0.0
4817,1391,1486,1473,1.0,,1.0,,6,,de,0.0
115,26,5181,22,,,1.0,-25200.0,1,,en,0.0
0,9,16,220,1.0,,1.0,,0,,en,1.0
0,6,22,232,1.0,,1.0,,0,,en,1.0
0,16,19,247,1.0,,1.0,,0,,en,1.0
205,2333,49037,764,,,1.0,28800.0,12,1.0,en,0.0
0,23,50,556,1.0,,1.0,,0,,en,1.0
0,10,17,212,1.0,,1.0,,0,,en,1.0
3843,1248,9842,2001,,,1.0,-10800.0,10,1.0,en,0.0
2784,608,5850,262,,,1.0,-25200.0,1,1.0,en,0.0
372,56,249,146,,,1.0,,0,,pt,0.0
43,208,135,263,,,,19800.0,2,1.0,en,0.0
0,15,12,201,1.0,,1.0,,0,,en,1.0
0,29,33,313,1.0,,1.0,,0,,en,1.0
238,219,3189,309,,,,,3,,en,0.0
0,12,26,258,1.0,,1.0,,0,,en,1.0
17451,519,25976,321,,,,28800.0,1,1.0,en,0.0
0,12,42,356,1.0,,1.0,,0,,en,1.0
0,11,17,236,1.0,,1.0,,0,,en,1.0
0,8,9,183,1.0,,1.0,,0,,en,1.0
0,18,36,286,1.0,,1.0,,0,,en,1.0
72,385,10339,200,,,1.0,19800.0,7,1.0,en,0.0
0,8,18,170,1.0,,1.0,,0,,en,1.0
0,8,26,232,1.0,,1.0,,0,,en,1.0
0,6,24,196,1.0,,1.0,,0,,en,1.0
0,7,20,199,1.0,,1.0,,0,,en,1.0
0,14,28,233,1.0,,1.0,,0,,en,1.0
0,11,42,362,1.0,,1.0,,0,,en,1.0
177,126,2543,321,,,1.0,-18000.0,1,,en,0.0
35,824,12043,241,,,,-25200.0,7,1.0,en,0.0
30438,904,18822,1996,,,1.0,,12,1.0,en,0.0
0,4,19,203,1.0,,1.0,,0,,en,1.0
0,15,21,210,1.0,,1.0,,0,,en,1.0
8849,212,6303,449,,,1.0,-25200.0,4,1.0,en,0.0
4537,280,2583,337,,,1.0,,0,,en,0.0
1407,337,4854,256,1.0,,1.0,,4,1.0,en,0.0
21938,1347,57416,891,,,1.0,-25200.0,4,1.0,en,0.0
3412,616,10251,306,1.0,,1.0,,2,,en,0.0
0,23,45,529,1.0,,1.0,,0,,en,1.0
123,143,1426,145,,,1.0,18000.0,1,1.0,en,0.0
15556,776,11847,604,,,1.0,,0,,en,0.0
1,15,33,340,1.0,,1.0,,0,,en,1.0
1898,460,3298,480,1.0,,1.0,-36000.0,4,1.0,en,0.0
0,8,46,398,1.0,,1.0,,0,,en,1.0
2495,126,1339,194,,,1.0,-14400.0,1,,en,0.0
0,48,58,481,1.0,,1.0,,0,,en,1.0
0,4,0,578,1.0,,1.0,,0,,en,1.0
11035,1979,50310,2104,1.0,,1.0,-14400.0,0,1.0,en,0.0
0,18,20,212,1.0,,1.0,,0,,en,1.0
0,16,35,306,1.0,,1.0,,0,,en,1.0
387,193,2348,191,,,1.0,,0,,en,0.0
0,14,32,293,1.0,,1.0,,0,,en,1.0
0,2,1,328,1.0,,1.0,,0,,fr,1.0
3,11,5,440,1.0,,1.0,0.0,0,,en,1.0
1253,202,6583,632,,,1.0,32400.0,9,1.0,en,0.0
402,236,559,207,,,,7200.0,1,,es,0.0
1985,97,9530,194,,,1.0,-10800.0,3,1.0,pt,0.0
0,11,19,192,1.0,,1.0,,0,,en,1.0
34690,2310,69459,869,,,1.0,-18000.0,25,1.0,en,0.0
123,344,31414,318,,,1.0,-25200.0,6,,en,0.0
0,8,13,234,1.0,,1.0,,0,,en,1.0
0,5,1,502,1.0,,1.0,-18000.0,0,,en,1.0
4239,322,3715,218,,,1.0,-21600.0,0,1.0,en,0.0
0,14,31,351,1.0,,1.0,,0,,en,1.0
0,13,20,240,1.0,,1.0,,0,,en,1.0
1,15,27,348,1.0,,1.0,,0,,en,1.0
0,3,2,559,1.0,,1.0,,0,,it,1.0
1648,103,612,196,,,,-25200.0,0,1.0,en,0.0
638,690,11498,733,,,1.0,3600.0,28,1.0,en,0.0
6,547,647,1286,,,1.0,-18000.0,9,,en,1.0
10891,1711,12125,677,1.0,,1.0,-18000.0,1,1.0,en,0.0
0,10,15,201,1.0,,1.0,,0,,en,1.0
570,600,9344,46,,,1.0,19800.0,2,1.0,en,0.0
0,4,0,593,1.0,,1.0,-21600.0,0,,en,1.0
0,11,20,191,1.0,,1.0,,0,,en,1.0
7,1,6,21,1.0,,1.0,,0,1.0,en,0.0
0,7,16,239,1.0,,1.0,,0,,en,1.0
0,2,6,444,1.0,,1.0,,0,,es,1.0
465,54,857,157,,,1.0,-25200.0,0,1.0,en,0.0
22,189,1190,477,,,1.0,32400.0,17,1.0,en,1.0
10479,1080,14879,1996,,,1.0,,3,1.0,en,0.0
70,62,496,95,,,1.0,,0,,en,0.0
0,15,32,328,1.0,,1.0,,0,,en,1.0
0,16,59,599,1.0,,1.0,,0,,en,1.0
701,233,3108,1534,,,1.0,-14400.0,2,,en,0.0
0,16,30,385,1.0,,1.0,,0,,en,1.0
0,4,2,540,,,1.0,,0,,es,1.0
93,70,85,150,1.0,,1.0,-25200.0,1,1.0,Select Language...,0.0
0,19,31,315,1.0,,1.0,,0,,en,1.0
676,54,2708,374,,,1.0,-25200.0,3,,en,0.0
11080,722,19287,529,,,1.0,28800.0,26,1.0,en,0.0
0,9,0,458,1.0,,1.0,,0,,es,1.0
6816,830,10772,1048,,,1.0,3600.0,31,1.0,en,0.0
63,2605,7602,2580,1.0,,1.0,7200.0,1,1.0,es,0.0
2,8,25,200,1.0,,1.0,,0,,en,1.0
1913,3937,13693,3616,,,1.0,-18000.0,169,,en,0.0
0,17,35,333,1.0,,1.0,,0,,en,1.0
0,6,14,215,1.0,,1.0,,0,,en,1.0
0,13,23,195,1.0,,1.0,,0,,en,1.0
0,2,2,29,1.0,,1.0,,0,,en,1.0
0,7,23,223,1.0,,1.0,,0,,en,1.0
0,7,29,221,1.0,,1.0,,0,,en,1.0
20,13,13,51,1.0,,1.0,,1,,en,0.0
3213,647,263,198,,,,3600.0,2,,en,0.0
0,29,48,517,1.0,,1.0,,0,,en,1.0
22424,295,24134,224,,,1.0,-25200.0,1,1.0,en,0.0
982,992,5679,2002,,,1.0,-18000.0,282,1.0,en,0.0
33,510,20348,103,,,,19800.0,2,,en,0.0
0,10,22,257,1.0,,1.0,,0,,en,1.0
4971,324,9812,199,,,1.0,-25200.0,0,1.0,en,0.0
134,192,25,471,1.0,,1.0,,0,,en,0.0
339,3152,10218,2522,,,1.0,-18000.0,86,,en,0.0
0,20,56,734,1.0,,1.0,,0,,en,1.0
25461,636,27509,592,,,1.0,-18000.0,13,1.0,en,0.0
0,22,23,357,1.0,,1.0,,0,,en,1.0
1122,239,3659,286,,,1.0,-18000.0,2,1.0,en,0.0
0,22,59,540,1.0,,1.0,,0,,en,1.0
0,12,30,245,1.0,,1.0,,0,,en,1.0
1,3,14,333,1.0,,1.0,,0,,en,1.0
0,24,42,349,1.0,,1.0,,0,,en,1.0
5,2,12,11,1.0,,1.0,,0,1.0,en,0.0
0,1,1,23,1.0,,1.0,,0,,en,1.0
0,3,6,460,1.0,,1.0,,0,,pt,1.0
7868,583,11374,420,,,1.0,,0,1.0,en,0.0
7514,407,18047,420,,,1.0,28800.0,4,1.0,en,0.0
137,374,10383,372,,,1.0,3600.0,15,1.0,en,0.0
456,12,982,18,,,1.0,-18000.0,0,,en,0.0
2510,177,2733,239,1.0,,1.0,-25200.0,2,1.0,en,0.0
6211,1100,9484,880,,,,,1,1.0,en,0.0
1402,8,1576,501,,,1.0,,1,,en,1.0
7932,321,17348,231,,,1.0,28800.0,1,,en,0.0
8331,1997,16954,2028,,,1.0,28800.0,5,1.0,en,0.0
0,20,17,276,1.0,,1.0,,0,,en,1.0
1,8,6,627,1.0,,1.0,,0,,es,1.0
1701,275,20563,236,,,,-25200.0,5,,en,0.0
1228,490,2203,673,1.0,,1.0,-25200.0,1,1.0,en,0.0
0,42,37,404,1.0,,1.0,,0,,en,1.0
0,9,14,196,1.0,,1.0,,0,,en,1.0
3811,600,8134,88,1.0,,1.0,-14400.0,4,1.0,en,0.0
0,26,69,587,1.0,,1.0,,0,,en,1.0
8097,1068,43447,822,,,,28800.0,2,1.0,en,0.0
216,127,10304,225,,,,-18000.0,2,1.0,en,0.0
0,24,70,655,1.0,,1.0,,0,,en,1.0
203,44,144,126,1.0,,1.0,,0,,en,0.0
90,3409,8275,96,,,1.0,-18000.0,56,1.0,en,0.0
0,21,27,365,1.0,,1.0,,0,,en,1.0
838,177,2448,297,1.0,,1.0,,3,1.0,en,0.0
3825,1046,23246,687,,,1.0,-25200.0,2,1.0,en,0.0
98,934,48821,387,,,1.0,10800.0,18,,en,0.0
0,23,58,461,1.0,,1.0,,0,,en,1.0
295,389,6523,892,,,1.0,28800.0,0,1.0,en,0.0
2,9,19,195,1.0,,1.0,,0,,en,1.0
0,12,21,224,1.0,,1.0,,0,,en,1.0
0,39,16,642,1.0,,1.0,,0,,en,1.0
0,4,5,390,1.0,,1.0,,0,,en,1.0
0,13,17,241,1.0,,1.0,,0,,en,1.0
0,3,0,434,1.0,,1.0,,0,,es,1.0
578,192,5842,323,,,,32400.0,2,1.0,en,0.0
0,16,27,255,1.0,,1.0,,0,,en,1.0
1,18,30,535,,,,,0,,en,1.0
0,8,24,244,1.0,,1.0,,0,,en,1.0
2133,2289,16803,2231,,,1.0,-10800.0,3,1.0,es,0.0
877,53,3927,256,1.0,,1.0,-25200.0,3,,en,0.0
313954,1301,51563,993,,,1.0,32400.0,64,,en-gb,0.0
0,10,23,244,1.0,,1.0,,0,,en,1.0
36,94,315,597,,,1.0,7200.0,4,1.0,es,0.0
864,89,1121,147,1.0,,1.0,,7,,fr,0.0
1873,615,11600,436,1.0,,1.0,-25200.0,2,1.0,en,0.0
1157,7785,283536,424,,,1.0,19800.0,217,1.0,en,0.0
0,7,16,194,1.0,,1.0,,0,,en,1.0
123,230,12196,65,,,1.0,21600.0,2,1.0,en,0.0
11690,555,20045,505,1.0,,1.0,,0,1.0,en,0.0
101,734,2041,728,,,1.0,7200.0,1,,es,0.0
0,11,2,957,1.0,,1.0,,0,,en,1.0
0,60,1742,704,,,1.0,-18000.0,0,,es,1.0
52,42,430,174,1.0,,1.0,,7,,en,0.0
0,119,109,654,1.0,,1.0,,1,,en,1.0
115,41,850,112,,,1.0,-28800.0,2,1.0,en,0.0
149,1226,47098,597,,,1.0,7200.0,43,,en,0.0
846,261,2690,359,,,1.0,-18000.0,1,1.0,en,0.0
38,54,468,97,1.0,,1.0,,1,1.0,en,0.0
0,5,18,232,1.0,,1.0,,0,,en,1.0
4687,488,5690,571,1.0,,1.0,,1,1.0,en,0.0
0,3,1,523,,,1.0,,0,,es,1.0
1180,352,5108,223,,,1.0,7200.0,0,,en,0.0
86,35,957,131,1.0,,1.0,,0,,ko,0.0
1857,218,1322,1042,,,1.0,-25200.0,0,1.0,en,0.0
7162,2317,28098,1130,,,1.0,,78,,en,0.0
1016,135,4925,141,1.0,,1.0,-21600.0,0,,en,0.0
1,322,234,234,,,1.0,18000.0,8,,en,0.0
0,5,1,549,1.0,,1.0,,0,,en,1.0
